p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
C6orf141,0,0.479031217997705,0.135,0.006,0,L2,C6orf141
ADAMTS2,0,0.471911651834533,0.498,0.258,0,L2,ADAMTS2
USP3,0,0.463435581450788,0.102,0.319,0,L2,USP3
TMEM132E,0,0.461972066344957,0.204,0.057,0,L2,TMEM132E
MPL,0,0.453460361614339,0.115,0.013,0,L2,MPL
C1QL2,0,0.439587728348674,0.143,0.016,0,L2,C1QL2
LOC105378654,0,0.423609470189343,0.182,0.045,0,L2,LOC105378654
LTK,0,0.419964883582313,0.162,0.034,0,L2,LTK
GYG2,0,0.414244965189341,0.226,0.077,0,L2,GYG2
LINC01484,0,0.408915159238683,0.124,0.019,0,L2,LINC01484
POU3F1,0,0.4064126770397,0.257,0.072,0,L2,POU3F1
LOC102723739,0,0.387024847743613,0.158,0.038,0,L2,LOC102723739
CDYL2,0,0.384094254063855,0.845,0.624,0,L2,CDYL2
BICC1,0,0.329331158704411,0.816,0.586,0,L2,BICC1
MAN1C1,0,0.310416163074059,0.885,0.723,0,L2,MAN1C1
PDZD2,0,-0.553921629655378,0.975,0.75,0,L2,PDZD2
PDE4A,0,-0.555271169470275,0.427,0.632,0,L2,PDE4A
CYP46A1,0,-0.558835361885984,0.772,0.61,0,L2,CYP46A1
LINC01102,0,-0.586895231780623,0.714,0.461,0,L2,LINC01102
CAMKV,0,-0.629113301323114,0.663,0.456,0,L2,CAMKV
LOC105372487,0,-0.778346784016054,0.032,0.195,0,L2,LOC105372487
GALNT12,0,-0.800656822999518,0.072,0.227,0,L2,GALNT12
ANXA1,0,-0.836319890798292,0.009,0.125,0,L2,ANXA1
LINC01105,0,-0.840084969876939,0.034,0.169,0,L2,LINC01105
LOC105376764,0,-0.936897468531508,0.141,0.333,0,L2,LOC105376764
ONECUT2,0,-0.943223608142358,0.575,0.296,0,L2,ONECUT2
SLC35F4,0,-0.947632759813736,0.078,0.276,0,L2,SLC35F4
LSAMP-AS1,0,-0.973191692139374,0.187,0.384,0,L2,LSAMP-AS1
PCSK1,0,-1.02537541380039,0.325,0.515,0,L2,PCSK1
FGFR2,0,-1.11285024136405,0.486,0.215,0,L2,FGFR2
ZMAT4,0,-1.11872992620741,0.908,0.938,0,L2,ZMAT4
GAB1,0,-1.16414334946723,0.896,0.747,0,L2,GAB1
PODXL2,0,-1.16693101200023,0.292,0.517,0,L2,PODXL2
TNFRSF19,0,-1.17920910239564,0.05,0.195,0,L2,TNFRSF19
CDK18,0,-1.18972975517546,0.051,0.206,0,L2,CDK18
FEZF2,0,-1.25842056800262,0.004,0.149,0,L2,FEZF2
LOC105376762,0,-1.28567890200142,0.126,0.34,0,L2,LOC105376762
KLF3,0,-1.30892512269147,0.095,0.357,0,L2,KLF3
CCDC50,0,-1.34388184244045,0.2,0.41,0,L2,CCDC50
HTR4,0,-1.3851079103522,0.647,0.387,0,L2,HTR4
MID2,0,-1.47922447525502,0.111,0.359,0,L2,MID2
LOC105373866,0,-1.55057500369851,0.046,0.257,0,L2,LOC105373866
KITLG,0,-1.61034805008557,0.718,0.492,0,L2,KITLG
FRMPD1,0,-1.62077929810809,0.037,0.189,0,L2,FRMPD1
LOC105371672,0,-1.63321839141149,0.03,0.188,0,L2,LOC105371672
ANXA5,0,-1.6418734480776,0.152,0.379,0,L2,ANXA5
SEPT6,0,-1.64405023384327,0.318,0.529,0,L2,SEPT6
IFITM10,0,-1.6694684168507,0.049,0.266,0,L2,IFITM10
LOC400706,0,-1.70208487461868,0.248,0.441,0,L2,LOC400706
CNN3,0,-1.72506696260707,0.131,0.328,0,L2,CNN3
MYH14,0,-1.73438779479513,0.118,0.33,0,L2,MYH14
ZNF608,0,-1.80625156296369,0.572,0.304,0,L2,ZNF608
PTK7,0,-1.906009204366,0.038,0.196,0,L2,PTK7
LINC00693,0,-1.93249949641605,0.338,0.528,0,L2,LINC00693
VAV2,0,-1.94455081059828,0.034,0.289,0,L2,VAV2
LPIN2,0,-1.95448682670891,0.381,0.575,0,L2,LPIN2
MUM1,0,-1.98317870644303,0.49,0.671,0,L2,MUM1
SLC24A4,0,-1.99805082888413,0.567,0.228,0,L2,SLC24A4
SPOCK1,0,-2.02738702005918,0.772,0.886,0,L2,SPOCK1
LOC105377990,0,-2.04712217349028,0.02,0.171,0,L2,LOC105377990
DLG5,0,-2.10478036304641,0.232,0.428,0,L2,DLG5
KIAA0355,0,-2.10999787372186,0.332,0.54,0,L2,KIAA0355
WASF3,0,-2.12328587162163,0.553,0.768,0,L2,WASF3
SHB,0,-2.23202200815653,0.033,0.183,0,L2,SHB
SWAP70,0,-2.24108063946047,0.035,0.243,0,L2,SWAP70
ANKRD29,0,-2.28952751464072,0.227,0.464,0,L2,ANKRD29
CBLN4,0,-2.3090175715279,0.68,0.328,0,L2,CBLN4
RAB31,0,-2.32507390617531,0.058,0.218,0,L2,RAB31
RDX,0,-2.35813695206855,0.374,0.563,0,L2,RDX
SENP7,0,-2.3630700872297,0.662,0.807,0,L2,SENP7
LMF1,0,-2.37899141298501,0.929,0.626,0,L2,LMF1
TTC39B,0,-2.48422202272151,0.49,0.68,0,L2,TTC39B
SEPT4,0,-2.56608872409213,0.184,0.4,0,L2,SEPT4
STXBP6,0,-2.60029510591148,0.758,0.443,0,L2,STXBP6
APPL2,0,-2.63629820162577,0.554,0.724,0,L2,APPL2
CD163L1,0,-2.71431684414845,0.197,0.394,0,L2,CD163L1
PUS7L,0,-2.81385620494344,0.602,0.752,0,L2,PUS7L
TM6SF1,0,-2.87080031218066,0.113,0.365,0,L2,TM6SF1
PRKCQ,0,-2.87349270326849,0.067,0.314,0,L2,PRKCQ
MFN1,0,-2.87603118587131,0.723,0.853,0,L2,MFN1
LOC101928250,0,-2.90494019280588,0.743,0.328,0,L2,LOC101928250
SSTR2,0,-2.91678501954477,0.163,0.35,0,L2,SSTR2
LOC100128497,0,-2.93295073810708,0.004,0.147,0,L2,LOC100128497
RSPO3,0,-2.97517607551211,0.019,0.156,0,L2,RSPO3
VWA3A,0,-3.06485044530199,0.599,0.365,0,L2,VWA3A
GUSBP11,0,-3.07316088381651,0.522,0.677,0,L2,GUSBP11
ADCYAP1,0,-3.08007503934337,0.289,0.1,0,L2,ADCYAP1
LOC102724109,0,-3.16053392655838,0.881,0.63,0,L2,LOC102724109
SYN3,0,-3.21569086342924,0.991,0.866,0,L2,SYN3
FAM198B,0,-3.24597438848453,0.033,0.234,0,L2,FAM198B
LOC105377211,0,-3.25770055117306,0.366,0.581,0,L2,LOC105377211
MFSD11,0,-3.29786359298091,0.593,0.739,0,L2,MFSD11
FNBP1,0,-3.31686758703898,0.712,0.84,0,L2,FNBP1
GNB4,0,-3.31943869595807,0.188,0.388,0,L2,GNB4
BARD1,0,-3.32964579992642,0.032,0.172,0,L2,BARD1
LOC105369302,0,-3.36596787101653,0.317,0.079,0,L2,LOC105369302
PIK3C2A,0,-3.37593226277976,0.61,0.775,0,L2,PIK3C2A
USP6NL,0,-3.40403139424165,0.167,0.359,0,L2,USP6NL
ANO5,0,-3.41022201716084,0.963,0.881,0,L2,ANO5
EML1,0,-3.44563604249141,0.808,0.598,0,L2,EML1
DENND5A,0,-3.45251552661794,0.558,0.725,0,L2,DENND5A
TAF1D,0,-3.46653733119052,0.466,0.673,0,L2,TAF1D
HOOK2,0,-3.49006841849971,0.364,0.573,0,L2,HOOK2
LOC553103,0,-3.49121721729459,0.671,0.807,0,L2,LOC553103
CCK,0,-3.55209614114497,0.947,0.726,0,L2,CCK
URI1,0,-3.55534572116671,0.742,0.85,0,L2,URI1
AKAP7,0,-3.58584082997924,0.47,0.642,0,L2,AKAP7
CNNM1,0,-3.62730185097065,0.742,0.845,0,L2,CNNM1
RASSF4,0,-3.66602197516175,0.13,0.446,0,L2,RASSF4
ZBBX,0,-3.66626966103942,0.692,0.438,0,L2,ZBBX
ETFDH,0,-3.70715277659574,0.503,0.691,0,L2,ETFDH
NTRK3,0,-3.72718620736018,0.993,0.916,0,L2,NTRK3
TRABD2A,0,-3.77876028769281,0.03,0.161,0,L2,TRABD2A
KCNAB3,0,-3.7883333452067,0.061,0.266,0,L2,KCNAB3
SLC7A8,0,-3.82935351156093,0.349,0.557,0,L2,SLC7A8
BBS7,0,-3.83339637369424,0.65,0.79,0,L2,BBS7
MED13L,0,-3.85743522714331,0.982,0.989,0,L2,MED13L
TMEM72-AS1,0,-3.87662200705124,0.291,0.521,0,L2,TMEM72-AS1
LOC105372079,0,-3.91099900626246,0.096,0.314,0,L2,LOC105372079
ZNF780B,0,-3.91140565496151,0.641,0.771,0,L2,ZNF780B
ZNF365,0,-4.00748466064863,0.882,0.709,0,L2,ZNF365
STAC2,0,-4.05109978835599,0.2,0.412,0,L2,STAC2
LOC100288974,0,-4.0607775056779,0.133,0.362,0,L2,LOC100288974
PIK3R3,0,-4.07116950706991,0.214,0.535,0,L2,PIK3R3
ITGB1,0,-4.07558132564223,0.435,0.653,0,L2,ITGB1
ESCO1,0,-4.09338678099154,0.57,0.731,0,L2,ESCO1
ABCC9,0,-4.16528760051097,0.019,0.281,0,L2,ABCC9
LOC105371497,0,-4.17733267388358,0.027,0.177,0,L2,LOC105371497
CMC1,0,-4.23550206566445,0.553,0.721,0,L2,CMC1
GRIP2,0,-4.29230275635245,0.056,0.254,0,L2,GRIP2
LOC101926941,0,-4.31599063918408,0.413,0.616,0,L2,LOC101926941
LAMP5,0,-4.43012808865923,0.368,0.171,0,L2,LAMP5
LOC105373575,0,-4.49132472830758,0.071,0.316,0,L2,LOC105373575
CXXC4,0,-4.53387125004468,0.141,0.398,0,L2,CXXC4
ZNF487,0,-4.67897631384865,0.246,0.44,0,L2,ZNF487
TSPAN9,0,-4.73808885644402,0.136,0.32,0,L2,TSPAN9
MAST2,0,-4.83652499319461,0.566,0.737,0,L2,MAST2
RUNX2,0,-4.84330831864991,0.158,0.417,0,L2,RUNX2
TMEM144,0,-4.85525588044579,0.059,0.249,0,L2,TMEM144
CDK8,0,-4.86490018619753,0.814,0.924,0,L2,CDK8
HTR7,0,-4.87259574656117,0.04,0.179,0,L2,HTR7
RELL2,0,-4.94987615456466,0.354,0.537,0,L2,RELL2
USP45,0,-4.96006514522098,0.535,0.683,0,L2,USP45
ARHGAP5,0,-5.00782871319552,0.775,0.866,0,L2,ARHGAP5
LOC105369168,0,-5.04429281058632,0.243,0.453,0,L2,LOC105369168
SMAD3,0,-5.06044994688328,0.826,0.546,0,L2,SMAD3
KBTBD12,0,-5.11434312283435,0.267,0.47,0,L2,KBTBD12
NGLY1,0,-5.11898389898429,0.601,0.733,0,L2,NGLY1
PTK2B,0,-5.22548858057849,0.903,0.654,0,L2,PTK2B
ZEB1,0,-5.26098026978399,0.85,0.963,0,L2,ZEB1
INPP5F,0,-5.26654482367721,0.736,0.862,0,L2,INPP5F
ST3GAL6,0,-5.28835313393113,0.675,0.785,0,L2,ST3GAL6
GALNT18,0,-5.33385642316613,0.938,0.729,0,L2,GALNT18
LOC105376081,0,-5.42594599500025,0.015,0.222,0,L2,LOC105376081
STK33,0,-5.44574463220306,0.072,0.256,0,L2,STK33
PSME4,0,-5.44790044778446,0.725,0.858,0,L2,PSME4
ZNF782,0,-5.46087443581841,0.86,0.918,0,L2,ZNF782
PWWP2A,0,-5.49816386242261,0.576,0.73,0,L2,PWWP2A
CCDC144B,0,-5.54150991841914,0.498,0.673,0,L2,CCDC144B
UGP2,0,-5.58375375279722,0.771,0.838,0,L2,UGP2
DGKD,0,-5.67802812255072,0.108,0.349,0,L2,DGKD
CBLB,0,-5.68617366957258,0.51,0.696,0,L2,CBLB
DAPK2,0,-5.71985544180122,0.105,0.287,0,L2,DAPK2
TBC1D8,0,-5.73353064495696,0.424,0.66,0,L2,TBC1D8
DENND4C,0,-5.76444304800549,0.734,0.838,0,L2,DENND4C
RNMT,0,-5.85813990958408,0.721,0.835,0,L2,RNMT
NRIP3,0,-5.87170329148657,0.094,0.414,0,L2,NRIP3
THUMPD2,0,-5.88484218227812,0.44,0.664,0,L2,THUMPD2
WDR19,0,-5.90903958569513,0.647,0.777,0,L2,WDR19
ANKS6,0,-5.99421770064474,0.558,0.72,0,L2,ANKS6
ANKRD26,0,-6.05537749564863,0.899,0.952,0,L2,ANKRD26
RHOBTB3,0,-6.2710215901055,0.22,0.53,0,L2,RHOBTB3
CPNE8,0,-6.27739248349991,0.875,0.56,0,L2,CPNE8
LRMP,0,-6.29357629155386,0.033,0.23,0,L2,LRMP
VWC2L,0,-6.32763817151876,0.122,0.615,0,L2,VWC2L
LOC105370731,0,-6.36607954753718,0.039,0.205,0,L2,LOC105370731
