,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
RPH3A.2,5.30759187750437e-34,-8.41449752725331,0.694,0.713,1.76143051638738e-29,L3,RPH3A
SCRT1.2,5.40765374721598e-34,0.512888194964419,0.306,0.236,1.79463804908857e-29,L3,SCRT1
MAP3K1.2,5.73694996443151e-34,0.411629198654413,0.312,0.242,1.90392158469589e-29,L3,MAP3K1
HIBADH.2,5.87734068105229e-34,-2.29187247516852,0.772,0.722,1.95051305182082e-29,L3,HIBADH
HYDIN2.2,6.18696352746975e-34,-3.69456679947571,0.83,0.869,2.05326758586139e-29,L3,HYDIN2
SH3RF2.2,6.70070041191074e-34,-7.55974592356336,0.312,0.244,2.22376144570082e-29,L3,SH3RF2
KIAA1958.2,6.77527382463307e-34,-8.36332536129481,0.712,0.594,2.24851012418098e-29,L3,KIAA1958
LRRC49.2,6.7990065273727e-34,-6.91604059127272,0.841,0.804,2.25638629623918e-29,L3,LRRC49
C1QTNF4,7.19776234578046e-34,-0.354722112650375,0.276,0.351,2.38872138969416e-29,L3,C1QTNF4
CAMSAP2.2,7.31174686610124e-34,-2.89067025374627,0.979,0.972,2.42654943245302e-29,L3,CAMSAP2
BBS9.2,8.22049572140036e-34,-14.9913721458691,0.944,0.923,2.72813591506114e-29,L3,BBS9
SYT16.1,8.43651210686799e-34,-11.0559953210902,0.988,0.99,2.79982527290628e-29,L3,SYT16
DEPDC5.1,8.45812575370536e-34,1.22373105429569,0.618,0.561,2.8069981938822e-29,L3,DEPDC5
ARMCX4.2,8.61945693632064e-34,1.98318693896721,0.786,0.747,2.86053917345673e-29,L3,ARMCX4
ACVR2A.2,8.64476474915403e-34,-7.65523797612162,0.682,0.711,2.86893807730175e-29,L3,ACVR2A
PTGFRN,9.40512093585982e-34,0.629135975145639,0.324,0.255,3.1212774849838e-29,L3,PTGFRN
RALY.2,1.00546704463637e-33,0.466012375026639,0.447,0.372,3.33684348103473e-29,L3,RALY
HRASLS.1,1.03739474966906e-33,-0.63566688820647,0.229,0.303,3.44280195572671e-29,L3,HRASLS
PDS5B.2,1.0470395963778e-33,-3.5020549034926,0.96,0.966,3.47481030849902e-29,L3,PDS5B
PELI2.2,1.06811483107503e-33,-9.02382448504766,0.135,0.197,3.54475268988871e-29,L3,PELI2
SCG2.1,1.15458291506583e-33,-26.1073765860554,0.475,0.399,3.83171432022897e-29,L3,SCG2
LRRC37A3.2,1.20540567986887e-33,-2.47795210917716,0.938,0.923,4.00037982978083e-29,L3,LRRC37A3
RALGDS.1,1.23207639588782e-33,-0.596756439417673,0.569,0.638,4.0888919350329e-29,L3,RALGDS
ATP5G3.2,1.261848643615e-33,-7.84200682740298,0.655,0.584,4.18769709356511e-29,L3,ATP5G3
RAB28.2,1.28545710178939e-33,-7.79114925230805,0.927,0.895,4.26604648370845e-29,L3,RAB28
FBXL2.2,1.33070854637853e-33,-18.481141847502,0.883,0.878,4.41622245286642e-29,L3,FBXL2
LOC105375062.2,1.33974775763257e-33,-0.597868071735554,0.618,0.55,4.44622088325519e-29,L3,LOC105375062
PRKAB2.2,1.3844967511389e-33,-0.874864234856609,0.501,0.427,4.59472936800467e-29,L3,PRKAB2
PTPRD.2,1.43646131541129e-33,-Inf,1,1,4.76718416745544e-29,L3,PTPRD
LOC101926934.1,1.49422798557851e-33,0.428342213678057,0.299,0.232,4.95889441573941e-29,L3,LOC101926934
CLIP1.2,1.57294551676228e-33,-3.24587173125991,0.903,0.926,5.22013428647899e-29,L3,CLIP1
ZNF720.2,1.58269432780614e-33,0.753651006962407,0.61,0.54,5.25248766569024e-29,L3,ZNF720
CALU.2,1.5903498947333e-33,-4.31832534533995,0.579,0.658,5.2778941956514e-29,L3,CALU
CDH20.2,1.85886031654031e-33,-17.2744112302838,0.628,0.66,6.16899973250233e-29,L3,CDH20
LOC105370499.2,1.94402599706462e-33,0.318701291011795,0.256,0.19,6.45163907645835e-29,L3,LOC105370499
TARS.2,1.96743153047646e-33,0.342454595833102,0.359,0.288,6.52931502019223e-29,L3,TARS
LOC105376055.2,2.17399698313987e-33,1.43365940599932,0.551,0.5,7.21484378794629e-29,L3,LOC105376055
NAV3.2,2.33464776605922e-33,-125.056476899426,1,1,7.74799554122074e-29,L3,NAV3
FOS.2,2.50066429533732e-33,3.5011738442634,0.126,0.078,8.29895459693595e-29,L3,FOS
EFNA5.2,2.68885715906128e-33,1.52149647080398,1,0.994,8.92351025377667e-29,L3,EFNA5
PRICKLE1.2,2.83226516268352e-33,-11.0766115498242,0.989,0.985,9.3994383953978e-29,L3,PRICKLE1
PHF21A.2,3.02633073193901e-33,-6.97456811598135,0.962,0.957,1.0043483800086e-28,L3,PHF21A
DENND3.2,3.15049969425294e-33,-0.925370670944888,0.708,0.752,1.04555633353172e-28,L3,DENND3
MAN2A1.2,3.9749028506313e-33,-36.6327935606189,0.971,0.903,1.31915100903901e-28,L3,MAN2A1
NDFIP2.2,4.09010191181171e-33,-28.781798487335,0.968,0.973,1.35738212147295e-28,L3,NDFIP2
KLHL32.2,4.53196732766777e-33,-68.9354466140218,0.908,0.87,1.5040239970331e-28,L3,KLHL32
LYSMD2.2,4.82725513954149e-33,-0.329733011802286,0.523,0.447,1.60202116315964e-28,L3,LYSMD2
TMEM106C.1,5.26181329050092e-33,-0.317315488063035,0.267,0.341,1.74623797671854e-28,L3,TMEM106C
RIMBP2.2,5.47844636020276e-33,-37.367321910468,0.896,0.939,1.81813199356049e-28,L3,RIMBP2
SPATS2L.2,5.78529823032136e-33,-6.84785574189723,0.84,0.836,1.91996692369675e-28,L3,SPATS2L
ROR1.2,5.86801289275771e-33,-20.2103170773025,0.063,0.11,1.9474174387195e-28,L3,ROR1
PTAR1.2,6.37560792934047e-33,0.478498932621252,0.47,0.397,2.11587300351022e-28,L3,PTAR1
LOC105374650.2,6.79644334162579e-33,0.453271025480448,0.306,0.238,2.25553565178535e-28,L3,LOC105374650
IKZF2.2,6.86172647000226e-33,-4.00831371473059,0.279,0.347,2.27720116359965e-28,L3,IKZF2
CHL1.2,7.24176713443469e-33,-30.3286588719223,0.979,0.993,2.40332525890484e-28,L3,CHL1
LOC105374505.2,8.81296935013756e-33,0.512723528785452,0.605,0.538,2.92476013823015e-28,L3,LOC105374505
CACNA1D.2,8.97970429707297e-33,-25.7837430408515,0.978,0.983,2.98009446506961e-28,L3,CACNA1D
LOC730268.2,9.0485864550998e-33,0.301837372282355,0.566,0.498,3.00295438685397e-28,L3,LOC730268
IPO11.2,9.34820481782824e-33,-5.21532974509738,0.811,0.8,3.10238873289266e-28,L3,IPO11
LOC105371080,1.01843904077419e-32,0.286173504588583,0.105,0.063,3.37989364461731e-28,L3,LOC105371080
LOC101927947.2,1.02330667554923e-32,-4.69215094572281,0.164,0.227,3.39604786414523e-28,L3,LOC101927947
WNT10B,1.03449848637728e-32,-0.293834298741695,0.164,0.23,3.43319012674028e-28,L3,WNT10B
LCORL.2,1.09683818529228e-32,2.09528504211935,0.763,0.723,3.64007688552948e-28,L3,LCORL
ND2.2,1.11470214132256e-32,-93.6569657427155,0.621,0.656,3.69936199640718e-28,L3,ND2
KCNJ9,1.28015344891091e-32,-1.15014043581251,0.418,0.492,4.24844525090065e-28,L3,KCNJ9
TMEM41B.2,1.32040596696807e-32,-9.3595441126554,0.723,0.667,4.38203128257694e-28,L3,TMEM41B
DPYSL4.2,1.33046703464375e-32,-0.329831084562514,0.246,0.319,4.41542094787223e-28,L3,DPYSL4
FUT10.2,1.39387138142176e-32,1.11196836107581,0.385,0.313,4.6258409535244e-28,L3,FUT10
LOC105378404.2,1.43318133756689e-32,2.24138163084997,0.534,0.478,4.75629890498323e-28,L3,LOC105378404
MPPED2.1,1.44504769074388e-32,-8.89133067378962,0.904,0.863,4.79567977127171e-28,L3,MPPED2
FTCD.1,1.47952518753164e-32,-0.393146733959848,0.206,0.273,4.91010023986126e-28,L3,FTCD
TMSB10.2,1.60078824879949e-32,-65.6271386573726,0.662,0.703,5.31253596129088e-28,L3,TMSB10
TPMT,1.70978033137848e-32,1.12461034291442,0.457,0.395,5.67424798574575e-28,L3,TPMT
ANKFN1.2,1.86496735742699e-32,-9.74743231836065,0.384,0.31,6.18926716909295e-28,L3,ANKFN1
FRMD6-AS2,1.92418617219134e-32,-0.304440477293578,0.071,0.122,6.38579664965138e-28,L3,FRMD6-AS2
PNPLA7.2,2.00063713897646e-32,-2.66573926761603,0.347,0.416,6.63951447312118e-28,L3,PNPLA7
MPPE1.2,2.0848083100409e-32,0.418853677849923,0.478,0.41,6.91885333853275e-28,L3,MPPE1
TMEM263.1,2.27019641862273e-32,-0.382318659011646,0.281,0.356,7.53410085448326e-28,L3,TMEM263
N6AMT2.2,2.79394082119775e-32,0.276894733125893,0.381,0.309,9.27225140330897e-28,L3,N6AMT2
LOC101928963.2,2.79782993154032e-32,0.264101016656836,0.259,0.194,9.28515819380287e-28,L3,LOC101928963
NR2F1-AS1.2,3.05726281168616e-32,-23.1129495219367,0.961,0.948,1.01461380931429e-27,L3,NR2F1-AS1
ASXL1.2,3.09318836096582e-32,0.407775582151648,0.803,0.765,1.02653642135373e-27,L3,ASXL1
PXYLP1.2,3.1528884699472e-32,1.60673085951608,0.638,0.624,1.04634909652138e-27,L3,PXYLP1
