,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
EEF1A2.1,9.76468654031764e-08,17.6148784031455,0.504,0.436,0.00324060652213521,L5,EEF1A2
LOC105370186,9.82857582025955e-08,0.314432244907932,0.123,0.076,0.00326180945746954,L5,LOC105370186
LINGO1.1,9.83154998020117e-08,15.3683784240741,0.956,0.936,0.00326279649192936,L5,LINGO1
LOC101929534,9.93287501898114e-08,0.369390170877288,0.346,0.278,0.00329642323254927,L5,LOC101929534
VRK1.1,9.97017622750375e-08,-3.69435361280004,0.381,0.463,0.00330880238462167,L5,VRK1
YPEL2.1,1.01517433291814e-07,0.782953580355052,0.482,0.414,0.00336905905865542,L5,YPEL2
MYO9A,1.01559310151567e-07,14.8121577466244,0.925,0.912,0.00337044882600006,L5,MYO9A
LOC102725160,1.05133796415402e-07,0.271737596069016,0.141,0.09,0.00348907530163794,L5,LOC102725160
TXNRD3NB,1.05372167141842e-07,0.307481728908077,0.184,0.128,0.00349698611093633,L5,TXNRD3NB
DRAM2,1.0631127826745e-07,1.35453996487165,0.48,0.415,0.00352815239186186,L5,DRAM2
PRDM2.1,1.06947500854241e-07,-0.466633956780903,0.695,0.769,0.00354926671084971,L5,PRDM2
SENP6.1,1.08004826911595e-07,0.404648958156343,0.944,0.906,0.0035843561907151,L5,SENP6
CCDC146.1,1.08666977436653e-07,8.15015827312511,0.518,0.447,0.00360633098019021,L5,CCDC146
GTF2F2.1,1.11377797689197e-07,0.322152427536728,0.477,0.402,0.0036962949719114,L5,GTF2F2
LRPPRC,1.1452765241051e-07,8.71683842799025,0.807,0.778,0.00380082920054759,L5,LRPPRC
SRGAP2B.1,1.14575661543068e-07,1.91230841244393,0.626,0.556,0.00380242247962979,L5,SRGAP2B
TOMM70A,1.1696851756663e-07,0.487300796750607,0.503,0.434,0.00388183419248376,L5,TOMM70A
LOC105370286,1.17531123712687e-07,0.967803397839327,0.281,0.216,0.00390050540265295,L5,LOC105370286
NME5,1.17627976690148e-07,1.6294026611279,0.548,0.483,0.00390371966241595,L5,NME5
CNBP,1.21323664718334e-07,1.03712203313213,0.492,0.422,0.00402636846100735,L5,CNBP
NRG4,1.2271819783634e-07,2.68994586770345,0.206,0.149,0.0040726488315946,L5,NRG4
LRP3,1.23123641242728e-07,0.609282221806279,0.364,0.289,0.00408610428192242,L5,LRP3
KCTD9,1.24118517589243e-07,0.47423187094631,0.262,0.198,0.0041191212432342,L5,KCTD9
CEP295,1.24545945011529e-07,0.608715785374989,0.567,0.487,0.00413330627709761,L5,CEP295
GREM2,1.26040837747535e-07,-8.78454039573851,0.282,0.342,0.00418291728232744,L5,GREM2
RCOR3,1.33304780563995e-07,14.2228289897688,0.761,0.764,0.0044239857525773,L5,RCOR3
LOC102723746.1,1.35298783585975e-07,0.743263739427945,0.199,0.139,0.00449016073086776,L5,LOC102723746
SMYD2,1.35354629449005e-07,1.85818104317156,0.373,0.303,0.00449201408752412,L5,SMYD2
NRGN,1.37228402204953e-07,32.2171063301405,0.248,0.186,0.00455419898397576,L5,NRGN
FAM76B,1.3825022739322e-07,0.266288492185442,0.32,0.248,0.00458811029649878,L5,FAM76B
LOC105377484.1,1.38605860595565e-07,-1.01627899431854,0.124,0.186,0.00459991269558502,L5,LOC105377484
STXBP3.1,1.38730006340759e-07,1.24559884497101,0.445,0.379,0.00460403272043076,L5,STXBP3
CGN.1,1.4021410487373e-07,1.31459312375427,0.242,0.182,0.00465328549844448,L5,CGN
XPO7,1.42669534471653e-07,1.85019139400261,0.718,0.673,0.00473477384051075,L5,XPO7
ZCCHC7,1.43431509485625e-07,4.9381385248717,0.929,0.929,0.00476006150529945,L5,ZCCHC7
ADCY10,1.44222780375074e-07,0.258885930220698,0.168,0.114,0.00478632141230757,L5,ADCY10
FAM66A,1.45738084872012e-07,9.10042181605152,0.878,0.862,0.00483660982264746,L5,FAM66A
HERC4,1.48217269903573e-07,8.25853553738904,0.867,0.838,0.00491888653628988,L5,HERC4
CTR9,1.49846995986846e-07,-0.368570035820246,0.268,0.341,0.00497297225581544,L5,CTR9
POU2F1.1,1.50262538398755e-07,2.40434679101298,0.87,0.905,0.0049867628618395,L5,POU2F1
FAM65A,1.51409045832182e-07,0.778560485901534,0.452,0.379,0.00502481200403262,L5,FAM65A
LOC101928096,1.52612078716542e-07,5.13863240661258,0.662,0.617,0.00506473705636589,L5,LOC101928096
NUAK1.1,1.54287652881069e-07,11.6764496091453,0.585,0.54,0.00512034433616405,L5,NUAK1
SAP18,1.55144852185662e-07,1.13793304783928,0.361,0.287,0.00514879220948555,L5,SAP18
NAP1L4,1.55943063382074e-07,2.49181536280784,0.64,0.594,0.0051752824444609,L5,NAP1L4
CISD1,1.56508126316619e-07,6.38650860297302,0.614,0.563,0.00519403518806963,L5,CISD1
ANKRD34A,1.57109116323657e-07,0.275426907676671,0.127,0.08,0.00521398024343319,L5,ANKRD34A
TFG,1.6014461108229e-07,3.17133907382167,0.659,0.621,0.00531471920798797,L5,TFG
WDR7.1,1.624125586919e-07,18.3588987407912,0.94,0.926,0.00538998558530808,L5,WDR7
REEP1.1,1.62623545616406e-07,-1.76024796557284,0.733,0.78,0.00539698760837167,L5,REEP1
